id,name,rating,reviews,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,host_id,country,family_suitability,price_fix,safety,natural_condition,work_suitability
15077219,Malinggo Homestay- keep Cottage,5,4,1,2,2,0,1,0,3,2,95368452.0,India,2,133.0,1,0,0
2510185,Everest Room,4,49,0,2,2,1,1,0,0,0,6036182.0,Nepal,1,64.0,1,0,2
29321387,"Idyllic Haven Homestay, Gaunap - Barbett Room",4,3,4,4,8,0,4,0,1,1,47745055.0,India,1,65.0,1,0,0
626668395209562091,Chimal- chic/cozy room with mountain view,0,2,1,1,2,0,1,0,1,1,458577721.0,India,1,114.0,1,1,1
40497007,MISSION VALLEY Kalimpong,0,2,8,11,16,0,8,0,1,1,313511993.0,India,1,110.0,1,1,2
50934681,Attic room | Zostel Homes Burwa,0,0,1,1,3,0,1,0,2,1,156292477.0,India,1,89.0,1,0,2
2140708,Round House with Balcony & Garden View 301,4,6,1,1,2,0,1,0,2,2,9985586.0,Nepal,0,36.0,1,0,1
630156075135498843,4 BHK Independent Villa with Lawn Area,0,0,4,4,8,0,4,0,2,1,454090567.0,India,2,106.0,1,0,1
16202733,Country side farm (feel the real Punjab),4,21,1,1,4,0,1,0,3,2,90930546.0,India,1,175.0,1,0,2
45858362,The Mountain Glory 4 Bedrooms 4 Bathrooms,0,0,4,4,8,0,4,0,2,1,260079280.0,India,2,148.0,1,0,1
20685649,Konkan Serene,4,14,1,1,4,0,1,0,2,0,144249718.0,India,2,114.0,1,0,3
24749613,Prantarik Cottage Bed and Breakfast (Home stay),4,36,2,2,6,0,2,0,2,1,174909226.0,India,2,172.0,1,0,1
24547485,The cottage Nigeen Chinar View,5,6,4,5,3,0,4,0,2,1,70294295.0,India,1,152.0,1,0,2
4408710,luxury homestay near Lake pichola,4,47,1,2,2,0,1,0,2,1,21956327.0,India,1,76.0,2,0,3
670272,Luxury farm resort with pool standard room,4,18,1,1,2,0,1,0,2,1,3337303.0,India,2,259.0,1,1,2
